139,9,11,15,20,28,43,13,7,1650210215
140,3,13,17,18,19,28,8,5,2109462840
141,8,12,29,31,42,43,2,6,1900552400
142,12,16,30,34,40,44,19,11,1018265564
143,26,27,28,42,43,45,8,3,3954584700
144,4,15,17,26,36,37,43,8,1402440413
145,2,3,13,20,27,44,9,3,3797838200
146,2,19,27,35,41,42,25,2,6043415250
147,4,6,13,21,40,42,36,7,1700040215
148,21,25,33,34,35,36,17,5,2323596420
149,2,11,21,34,41,42,27,7,1639052143
150,2,18,25,28,37,39,16,4,2831645850
151,1,2,10,13,18,19,15,4,2716634025
152,1,5,13,26,29,34,43,5,2278131840
153,3,8,11,12,13,36,33,4,2730526125
154,6,19,21,35,40,45,20,4,2836628700
155,16,19,20,32,33,41,4,9,1193005734
156,5,18,28,30,42,45,2,8,1401099900
157,19,26,30,33,35,39,37,2,5484903750
158,4,9,13,18,21,34,7,10,1069544340
159,1,18,30,41,42,43,32,6,1755407300
160,3,7,8,34,39,41,1,2,5490805350
161,22,34,36,40,42,45,44,7,1996876272
162,1,5,21,25,38,41,24,5,2308265760
163,7,11,26,28,29,44,16,7,1629726515
164,6,9,10,11,39,41,27,3,4054937900
165,5,13,18,19,22,42,31,2,6767426700
166,9,12,27,36,39,45,14,11,1111299982
167,24,27,28,30,36,39,4,5,2491222920
168,3,10,31,40,42,43,30,5,2349946920
169,16,27,35,37,43,45,19,5,2482888380
170,2,11,13,15,31,42,10,6,1923108250
171,4,16,25,29,34,35,1,6,1961339700
172,4,19,21,24,26,41,35,11,1081154073
173,3,9,24,30,33,34,18,8,1487736788
174,13,14,18,22,35,39,16,7,1771103058
175,19,26,28,31,33,36,17,5,2371132620
176,4,17,30,32,33,34,15,5,2314663080
177,1,10,13,16,37,43,6,7,1693285500
178,1,5,11,12,18,23,9,5,2254621080
179,5,9,17,25,39,43,32,10,1081093920
180,2,15,20,21,29,34,22,2,5763371550
181,14,21,23,32,40,45,44,6,1941763300
182,13,15,27,29,34,40,35,3,3721439400
183,2,18,24,34,40,42,5,6,1777221500
184,1,2,6,16,20,33,41,6,1747753050
185,1,2,4,8,19,38,14,3,3522485800
186,4,10,14,19,21,45,9,9,1187882600
187,1,2,8,18,29,38,42,7,1544733900
188,19,24,27,30,31,34,36,3,3501405200
189,8,14,32,35,37,45,28,3,3461775100
190,8,14,18,30,31,44,15,6,1784159450
191,5,6,24,25,32,37,8,4,2577114675
192,4,8,11,18,37,45,33,4,2445348375
193,6,14,18,26,36,39,13,3,3404449700
194,15,20,23,26,39,44,28,4,2650567875
195,7,10,19,22,35,40,31,11,918992591
196,35,36,37,41,44,45,30,15,727876520
197,7,12,16,34,42,45,4,6,1803018300
198,12,19,20,25,41,45,2,6,1797855050
199,14,21,22,25,30,36,43,2,5344252200
200,5,6,13,14,17,20,7,8,1344616613
201,3,11,24,38,39,44,26,1,9719465400
202,12,14,27,33,39,44,17,6,1893391700
203,1,3,11,24,30,32,7,5,2164564740
204,3,12,14,35,40,45,5,8,1358347125
205,1,3,21,29,35,37,30,6,1835221800
