DATE,Target,Close_HankookTire(-1),Close_HankookTire(-2),Close_UHAN(-1),Close_UHAN(-2),Close_KIA(-1),Close_KIA(-2),Close_SKHynix(-1),Close_SKHynix(-2),Close_HDConstruct(-1),Close_HDConstruct(-2),Close_SSInsurance(-1),Close_SSInsurance(-2),Close_HDsteel(-1),Close_HDsteel(-2),Close_HDMotors(-1),Close_HDMotors(-2),Close_POSCO(-1),Close_POSCO(-2),Close_SSElectronics(-1),Close_SSElectronics(-2),Close_SSSDI(-1),Close_SSSDI(-2),Close_SSElectric(-1),Close_SSElectric(-2),Close_HDHeavy(-1),Close_HDHeavy(-2),Close_LotteChemical(-1),Close_LotteChemical(-2),Close_HDMobis(-1),Close_HDMobis(-2),Close_SKTelecom(-1),Close_SKTelecom(-2),Close_SSCNT(-1),Close_SSCNT(-2),Close_SSLife(-1),Close_SSLife(-2),Close_LGD(-1),Close_LGD(-2),Close_Naver(-1),Close_Naver(-2),Close_KAKAO(-1),Close_KAKAO(-2),Close_LGChem(-1),Close_LGChem(-2),Close_ShinhanHolding(-1),Close_ShinhanHolding(-2),Close_LGElectronics(-1),Close_LGElectronics(-2),Close_Celtrion(-1),Close_Celtrion(-2),Close_HDGlovis(-1),Close_HDGlovis(-2),Close_AmorePacific(-1),Close_AmorePacific(-2),Close_SKInnovation(-1),Close_SKInnovation(-2),Close_KBFinance(-1),Close_KBFinance(-2),Close_EMart(-1),Close_EMart(-2)
2016.2.12,92800,47300,47100,317000,322000,43550,44450,27150,28100,35800,37650,317000,316000,49550,50400,131000,133500,176500,181000,1130000,1164000,92500,95500,54100,56500,92000,95200,280000,287500,240500,246000,204500,210500,146500,152000,109500,111500,20950,21500,563000,599000,100700,108900,286000,301000,38650,39650,55500,56900,113200,119400,196000,202500,393500,402500,132000,142000,28700,29350,163000,165500
2016.2.15,92300,49750,47300,283000,317000,46350,43550,27350,27150,36000,35800,315000,317000,50000,49550,137000,131000,177500,176500,1130000,1130000,92200,92500,57600,54100,94700,92000,269000,280000,252000,240500,211000,204500,143000,146500,110000,109500,21250,20950,556000,563000,92800,100700,283000,286000,38650,38650,55800,55500,100000,113200,195500,196000,371000,393500,129500,132000,28400,28700,159000,163000
2016.2.16,94300,49300,49750,284000,283000,46550,46350,27700,27350,37700,36000,315000,315000,52400,50000,139500,137000,188500,177500,1154000,1130000,93300,92200,58300,57600,101500,94700,270500,269000,248000,252000,216500,211000,148000,143000,107500,110000,21500,21250,556000,556000,92300,92800,281000,283000,40000,38650,57700,55800,100600,100000,197500,195500,363000,371000,130000,129500,29650,28400,160000,159000
2016.2.17,92100,49450,49300,293000,284000,47250,46550,28900,27700,38100,37700,317500,315000,53100,52400,141000,139500,192500,188500,1168000,1154000,95500,93300,59000,58300,101000,101500,285500,270500,250500,248000,216500,216500,148500,148000,109500,107500,21650,21500,575000,556000,94300,92300,293500,281000,39950,40000,59500,57700,103500,100600,197000,197500,365500,363000,137000,130000,29500,29650,161000,160000
2016.2.18,92400,48850,49450,281000,293000,47850,47250,30050,28900,37650,38100,303500,317500,52500,53100,147000,141000,191500,192500,1185000,1168000,98200,95500,60300,59000,102500,101000,283500,285500,262000,250500,215500,216500,146000,148500,109500,109500,21850,21650,575000,575000,92100,94300,285000,293500,40600,39950,59600,59500,98800,103500,203500,197000,346500,365500,138000,137000,31300,29500,163000,161000
2016.2.19,92600,49400,48850,282000,281000,47650,47850,30200,30050,40000,37650,315500,303500,53800,52500,147000,147000,196500,191500,1187000,1185000,99300,98200,60500,60300,104500,102500,284500,283500,259500,262000,220500,215500,154500,146000,110000,109500,22500,21850,582000,575000,92400,92100,295000,285000,40000,40600,60300,59600,105000,98800,203500,203500,367500,346500,141000,138000,30650,31300,163500,163000
2016.2.22,92400,50400,49400,287500,282000,49000,47650,29600,30200,40050,40000,293500,315500,53300,53800,149000,147000,196000,196500,1190000,1187000,98500,99300,59100,60500,105000,104500,294000,284500,259000,259500,224500,220500,153000,154500,108500,110000,23000,22500,573000,582000,92600,92400,303500,295000,39750,40000,60800,60300,102000,105000,207500,203500,372500,367500,144500,141000,30300,30650,162000,163500
2016.2.23,96400,49700,50400,299500,287500,48100,49000,29900,29600,39250,40050,294000,293500,53100,53300,147500,149000,196500,196000,1175000,1190000,99300,98500,58600,59100,103000,105000,305000,294000,259000,259000,226000,224500,152500,153000,109000,108500,23350,23000,565000,573000,92400,92600,303500,303500,39000,39750,62500,60800,102900,102000,202000,207500,368500,372500,143000,144500,30100,30300,165500,162000
2016.2.24,95000,51900,49700,272500,299500,48000,48100,30400,29900,39150,39250,290000,294000,55600,53100,149000,147500,200500,196500,1181000,1175000,96700,99300,56300,58600,103000,103000,309500,305000,258500,259000,228500,226000,152500,152500,107000,109000,23300,23350,584000,565000,96400,92400,299500,303500,39050,39000,62600,62500,101000,102900,202500,202000,361500,368500,148500,143000,30100,30100,165000,165500
2016.2.25,94500,52100,51900,267000,272500,47500,48000,30900,30400,38250,39150,295000,290000,55700,55600,149000,149000,202000,200500,1172000,1181000,99000,96700,58400,56300,106000,103000,307000,309500,266500,258500,228500,228500,152000,152500,112000,107000,24050,23300,580000,584000,95000,96400,295500,299500,39300,39050,63500,62600,100100,101000,197500,202500,355000,361500,147500,148500,30250,30100,164000,165000
